ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
PhoD_ASV102,0.002516515,0.001808745,0.001926707,0.003696131,0.002359232,0.002280591,0.00145486,0.002280591,0.00074709,0.001651463,0.004521862,0.005622837
PhoD_ASV92,0.002477194,0.003735451,0.002595156,0.001297578,0.001415539,0.004639824,0.002319912,0.00070777,0.002595156,0.003774772,0.002241271,0.002516515
PhoD_ASV66,0.003067002,0.002477194,0.00365681,0.004207298,0.002988361,0.002319912,0.002005348,0.002005348,0.001651463,0.001415539,0.001336898,0.000825731
PhoD_ASV88,0.003027682,0.003578169,0.002949041,0.00290972,0.002123309,0.002988361,0.001376219,0.002359232,0.002516515,0.002123309,0.001966027,0.001887386
PhoD_ASV53,0.00361749,0,0,0,0.002673797,0,0,0.004167977,0.005308273,0.005426235,0.004718465,0
PhoD_ASV157,0.001179616,0.001061655,0.001140296,0.000865052,0.000983014,0.001179616,0.003735451,0.005150991,0.003814092,0.00361749,0.002555835,0.003381567
PhoD_ASV96,0.002044668,0.001690783,0.001612142,0.003224284,0.003067002,0.00220195,0.002516515,0.000904372,0.001572822,0.000943693,0.001533501,0.005937402
PhoD_ASV170,0.001258257,0.001651463,0.002241271,0.002673797,0.002988361,0.002123309,0.002595156,0.00216263,0.003027682,0.001848065,0.001494181,0.003145643
PhoD_ASV75,0.003106323,0.00220195,0.002477194,0.002634476,0.001769424,0.002319912,0.001887386,0.002319912,0.003774772,0.001690783,0.001376219,0.000983014
PhoD_ASV135,0.001808745,0.001179616,0.001612142,0.002280591,0.000983014,0.000865052,0.002831079,0.002791758,0.003027682,0.003932054,0.003263605,0.001887386
PhoD_ASV176,0.001022334,0.003067002,0.001926707,0.00220195,0.003342246,0.002123309,0.001651463,0.002791758,0.002280591,0.002398553,0.002005348,0.001612142
PhoD_ASV139,0.002123309,0.002791758,0.001966027,0.003696131,0.003145643,0,0.002123309,0.001848065,0.002673797,0.00145486,0.00220195,0.002988361
PhoD_ASV252,0.00070777,0.001258257,0.001769424,0.000511167,0.002123309,0.00145486,0.00290972,0.003971375,0.002398553,0.002713117,0.004246618,0.002595156
PhoD_ASV71,0.002949041,0.002437874,0.001415539,0.002634476,0.001690783,0.001966027,0.000550488,0.001808745,0.00220195,0.002083989,0.002280591,0.001415539
PhoD_ASV149,0.001336898,0.002005348,0.001730104,0.003460208,0.00220195,0.002005348,0.002713117,0.001100975,0.001612142,0.00074709,0.002044668,0.00220195
PhoD_ASV190,0.001376219,0.001730104,0.001179616,0.001690783,0.001297578,0.000865052,0.000943693,0.003499528,0.002319912,0.002831079,0.00290972,0.001730104
PhoD_ASV374,0.000471846,0.003067002,0.000943693,0.000904372,0.002673797,0.006684492,0.001730104,0.001140296,0.001218937,0.003184964,0.001494181,0.001218937
PhoD_ASV165,0.001572822,0,0.003814092,0.001572822,0,0,0.003302925,0.003814092,0.004246618,0,0.003892734,0
PhoD_ASV207,0.001100975,0.00074709,0.001769424,0.002673797,0.001140296,0.002083989,0.002988361,0.001100975,0.001887386,0.002595156,0.002437874,0.002083989
PhoD_ASV95,0.002555835,0.002359232,0.001612142,0.001533501,0.001376219,0.001769424,0.001494181,0.001769424,0.001651463,0.002241271,0.002595156,0
PhoD_ASV133,0.001966027,0.001258257,0.002359232,0,0.001061655,0.001140296,0.002398553,0.002398553,0.001690783,0.002083989,0.003067002,0.001848065
PhoD_ASV119,0.002044668,0.001376219,0.001258257,0.002949041,0.001533501,0.001848065,0.001690783,0.001612142,0.002634476,0.002437874,0.001769424,0.001100975
PhoD_ASV151,0.001533501,0.001415539,0.001061655,0.002280591,0.001494181,0.001533501,0.00220195,0.003460208,0.002437874,0.002044668,0.001572822,0.001887386
PhoD_ASV5568,0,0,0,0.022255426,0.001022334,0,0.002437874,0,0,0,0,0
PhoD_ASV115,0.00220195,0.001848065,0.001690783,0.002949041,0.001533501,0.001848065,0.002005348,0.001258257,0.002359232,0.001336898,0.000904372,0.002241271
