source	target	weight	correlation
ASV2305	ASV2347	1	1
ASV2305	ASV2343	1	1
ASV2305	ASV2282	1	1
ASV2305	ASV2352	1	1
ASV2305	ASV2297	1	1
ASV2305	ASV2368	1	1
ASV2305	ASV2294	1	1
ASV2305	ASV2350	1	1
ASV2305	ASV2278	1	1
ASV321	ASV492	1	1
ASV120	ASV105	0.985610760609162	0.985610760609162
ASV2349	ASV2330	1	1
ASV2349	ASV2354	1	1
ASV2349	ASV2345	1	1
ASV2349	ASV2371	1	1
ASV2349	ASV2275	1	1
ASV2349	ASV2285	1	1
ASV2349	ASV2346	1	1
ASV2349	ASV2314	1	1
ASV2349	ASV2357	1	1
ASV2349	ASV2336	1	1
ASV2349	ASV2261	1	1
ASV2349	ASV2361	1	1
ASV2349	ASV2320	1	1
ASV2349	ASV2299	1	1
ASV2349	ASV2293	1	1
ASV2349	ASV2306	1	1
ASV2349	ASV2308	1	1
ASV2349	ASV2257	1	1
ASV2349	ASV2269	1	1
ASV2349	ASV2321	1	1
ASV2349	ASV2273	1	1
ASV2349	ASV2304	1	1
ASV2349	ASV2312	1	1
ASV2349	ASV2309	1	1
ASV2349	ASV2348	1	1
ASV2349	ASV2284	1	1
ASV2349	ASV2351	1	1
ASV2349	ASV1711	1	1
ASV2349	ASV2259	1	1
ASV2349	ASV2301	1	1
ASV2349	ASV2283	1	1
ASV2349	ASV2347	1	1
ASV2349	ASV2343	1	1
ASV2349	ASV2282	1	1
ASV2349	ASV2352	1	1
ASV2349	ASV2297	1	1
ASV2349	ASV2368	1	1
ASV2349	ASV2294	1	1
ASV2349	ASV2350	1	1
ASV2349	ASV2278	1	1
ASV445	ASV448	1	-1
ASV445	ASV196	0.985610760609162	0.985610760609162
ASV879	ASV910	0.983738753675929	0.983738753675929
ASV4622	ASV4591	1	1
ASV4622	ASV4590	1	1
ASV4622	ASV4600	1	1
ASV4622	ASV2630	1	1
ASV4622	ASV4609	1	1
ASV4622	ASV1365	1	1
ASV4622	ASV4602	1	1
ASV4622	ASV4613	1	1
ASV4622	ASV2939	1	1
ASV4622	ASV2565	1	1
ASV4622	ASV1646	1	1
ASV4622	ASV4637	1	1
ASV4622	ASV4606	1	1
ASV4622	ASV2579	1	1
ASV4622	ASV4612	1	1
ASV4622	ASV4598	1	1
ASV4622	ASV1389	1	1
ASV4622	ASV4621	1	1
ASV4622	ASV4614	1	1
ASV4622	ASV4605	1	1
ASV4622	ASV4307	1	1
ASV4622	ASV4623	1	1
ASV4622	ASV4601	1	1
ASV4622	ASV4649	1	1
ASV4622	ASV1421	1	1
ASV4622	ASV2550	1	1
ASV4622	ASV4666	1	1
ASV4622	ASV3689	1	1
ASV4622	ASV4597	1	1
ASV4622	ASV4656	1	1
ASV4622	ASV2608	1	1
ASV4622	ASV4594	1	1
ASV4622	ASV2930	1	1
ASV4622	ASV2646	1	1
ASV4622	ASV1572	1	1
ASV4622	ASV4625	1	1
ASV4622	ASV2617	1	1
ASV1037	ASV922	1	1
ASV1037	ASV861	1	1
ASV1037	ASV947	1	1
ASV1037	ASV920	1	1
ASV1037	ASV973	1	1
ASV1037	ASV897	1	1
ASV1037	ASV854	1	1
ASV1037	ASV951	1	1
ASV1037	ASV946	1	1
ASV1037	ASV1009	1	1
ASV1037	ASV898	1	1
ASV1037	ASV900	1	1
ASV1037	ASV975	1	1
ASV1037	ASV964	1	1
ASV1037	ASV868	1	1
ASV1037	ASV866	1	1
ASV1037	ASV981	1	1
ASV1037	ASV841	1	1
ASV1037	ASV994	1	1
ASV1037	ASV873	1	1
ASV1037	ASV959	1	1
ASV1037	ASV1038	1	1
ASV1037	ASV864	1	1
ASV1037	ASV966	1	1
ASV1037	ASV1000	1	1
ASV1037	ASV1052	1	1
ASV1037	ASV914	1	1
ASV1037	ASV1060	1	1
ASV1037	ASV906	1	1
ASV1037	ASV960	1	1
ASV1037	ASV997	1	1
ASV1037	ASV895	1	1
ASV1037	ASV1075	1	1
ASV1037	ASV998	1	1
ASV1037	ASV1073	1	1
ASV1037	ASV993	1	1
ASV1037	ASV919	1	1
ASV1037	ASV977	1	1
ASV1037	ASV943	1	1
ASV1037	ASV859	1	1
ASV1037	ASV991	1	1
ASV1037	ASV976	1	1
ASV1037	ASV741	1	1
ASV1037	ASV1044	1	1
ASV1037	ASV839	1	1
ASV4591	ASV4590	1	1
ASV4591	ASV4600	1	1
ASV4591	ASV2630	1	1
ASV4591	ASV4609	1	1
ASV4591	ASV1365	1	1
ASV4591	ASV4602	1	1
ASV4591	ASV4613	1	1
ASV4591	ASV2939	1	1
ASV4591	ASV2565	1	1
ASV4591	ASV1646	1	1
ASV4591	ASV4637	1	1
ASV4591	ASV4606	1	1
ASV4591	ASV2579	1	1
ASV4591	ASV4612	1	1
ASV4591	ASV4598	1	1
ASV4591	ASV1389	1	1
ASV4591	ASV4621	1	1
ASV4591	ASV4614	1	1
ASV4591	ASV4605	1	1
ASV4591	ASV4307	1	1
ASV4591	ASV4623	1	1
ASV4591	ASV4601	1	1
ASV4591	ASV4649	1	1
ASV4591	ASV1421	1	1
ASV4591	ASV2550	1	1
ASV4591	ASV4666	1	1
ASV4591	ASV3689	1	1
ASV4591	ASV4597	1	1
ASV4591	ASV4656	1	1
ASV4591	ASV2608	1	1
ASV4591	ASV4594	1	1
ASV4591	ASV2930	1	1
ASV4591	ASV2646	1	1
ASV4591	ASV1572	1	1
ASV4591	ASV4625	1	1
ASV4591	ASV2617	1	1
ASV61	ASV129	0.985610760609162	-0.985610760609162
ASV61	ASV298	0.985610760609162	0.985610760609162
ASV706	ASV1082	0.983738753675929	0.983738753675929
ASV3265	ASV3278	1	1
ASV3265	ASV3269	1	1
ASV3265	ASV3258	1	1
ASV3265	ASV3266	1	1
ASV3265	ASV3282	1	1
ASV3265	ASV3268	1	1
ASV3265	ASV3283	1	1
ASV3265	ASV3274	1	1
ASV3265	ASV2910	1	1
ASV3265	ASV3298	1	1
ASV3265	ASV3257	1	1
ASV3265	ASV1369	1	1
ASV3265	ASV1387	1	1
ASV3265	ASV2567	1	1
ASV3265	ASV3260	1	1
ASV66	ASV65	0.985610760609162	0.985610760609162
ASV4590	ASV4600	1	1
ASV4590	ASV2630	1	1
ASV4590	ASV4609	1	1
ASV4590	ASV1365	1	1
ASV4590	ASV4602	1	1
ASV4590	ASV4613	1	1
ASV4590	ASV2939	1	1
ASV4590	ASV2565	1	1
ASV4590	ASV1646	1	1
ASV4590	ASV4637	1	1
ASV4590	ASV4606	1	1
ASV4590	ASV2579	1	1
ASV4590	ASV4612	1	1
ASV4590	ASV4598	1	1
ASV4590	ASV1389	1	1
ASV4590	ASV4621	1	1
ASV4590	ASV4614	1	1
ASV4590	ASV4605	1	1
ASV4590	ASV4307	1	1
ASV4590	ASV4623	1	1
ASV4590	ASV4601	1	1
ASV4590	ASV4649	1	1
ASV4590	ASV1421	1	1
ASV4590	ASV2550	1	1
ASV4590	ASV4666	1	1
ASV4590	ASV3689	1	1
ASV4590	ASV4597	1	1
ASV4590	ASV4656	1	1
ASV4590	ASV2608	1	1
ASV4590	ASV4594	1	1
ASV4590	ASV2930	1	1
ASV4590	ASV2646	1	1
ASV4590	ASV1572	1	1
ASV4590	ASV4625	1	1
ASV4590	ASV2617	1	1
ASV228	ASV124	0.985610760609162	0.985610760609162
ASV228	ASV452	0.985610760609162	-0.985610760609162
ASV2330	ASV2354	1	1
ASV2330	ASV2345	1	1
ASV2330	ASV2371	1	1
ASV2330	ASV2275	1	1
ASV2330	ASV2285	1	1
ASV2330	ASV2346	1	1
ASV2330	ASV2314	1	1
ASV2330	ASV2357	1	1
ASV2330	ASV2336	1	1
