"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV556",0.000235923,0.000432526,0.000275244,0,0.00074709,0.000196603,0.000314564,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV343",0.001061655,0.000904372,0,0,0,0,0.000327671,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV600",0,0,0.000668449,0.000117962,0,0.000353885,0.000190049,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV429",0.000904372,0.000393205,0.000432526,0.000157282,0.001022334,0,0.000484953,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV536",0,0,0.000589808,0,0.001494181,0.000511167,0.000432526,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Phyllobacteriaceae","g__Mesorhizobium","s__Mesorhizobium_sp._B7"
"ASV803",0,0.000393205,0,0.000196603,0.000235923,0.000550488,0.00022937,"phoD","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_stutzeri"
"ASV1236",0.001022334,0,0,0.000668449,0.000786411,0.000314564,0.000465293,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Sinorhizobium","s__Sinorhizobium_sp._CCBAU_05631"
"ASV3213",0.003067002,0,0,0,0,0,0.000511167,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__Bradyrhizobium_sp._CCGE-LA001"
"ASV906",0,0.000353885,0.000314564,0.001061655,0.000235923,0.000275244,0.000373545,"phoD","p__Actinobacteria_d__Bacteria","c__Actinobacteria_p__Actinobacteria","o__Glycomycetales","f__Glycomycetaceae","g__Stackebrandtia","s__Stackebrandtia_nassauensis"
"ASV439",0,0,0,0.000629129,0.00074709,0,0.00022937,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV558",0.000157282,0.000275244,0.000550488,0.000865052,0.000196603,0.000235923,0.000380099,"phoD","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_stutzeri"
"ASV943",0.000157282,0.000235923,0.000196603,0.000629129,0.000471846,0,0.000281797,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV364",0,0.000432526,0,0.000550488,0.000393205,0,0.00022937,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV384",0.000117962,0.000589808,0,0.000314564,0.000196603,0.000157282,0.00022937,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV488",0,0.000314564,0,0.000432526,0,0.000629129,0.00022937,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV4814",0,0.000157282,0,0,0,0.003302925,0.000576701,"phoD","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_mandelii"
"ASV543",0,0,0,0.001061655,0,0,0.000176943,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV2756",0,0,0,0.000117962,0.002831079,0,0.000491507,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV337",0,0,0.001258257,0,0.00070777,0,0.000327671,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Afipia","s__Afipia_sp._GAS231"
"ASV589",0.000943693,0,0,0,0,0.000786411,0.000288351,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV405",0,0.00070777,0,0,0.000393205,0,0.000183496,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV813",0.000511167,0.000275244,0.000589808,0,0.000393205,0,0.000294904,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV3223",0.00074709,0.000393205,0,0,0,0.000786411,0.000321118,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV339",0.001100975,0,0,0,0.000668449,0,0.000294904,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV8750",0,0.001022334,0,0.002241271,0,0,0.000543934,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Ensifer","s__Ensifer_adhaerens"
