"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV1438",0,0.001002722,0,0.000143246,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Cavernomonas","s__Cavernomonas_stercoris"
"ASV201",0,0,0.001145968,0.003294657,0.001002722,0.000572984,0.001002722,"Pro","p__Conosa","c__Variosea","o__ATCC50593-Flamella-WIM80-lineage","f__Flamella-lineage","g__Flamella","s__unclassified_g__Flamella"
"ASV2589",0.001718951,0,0.000859476,0,0,0.000859476,0.000572984,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__unclassified_o__Variosea_X","g__unclassified_o__Variosea_X","s__unclassified_o__Variosea_X"
"ASV997",0,0.001002722,0,0,0.000429738,0,0.000238743,"Pro","p__Eukaryota_XX","c__Eukaryota_XXX","o__Eukaryota_XXXX","f__Eukaryota_XXXXX","g__Eukaryota_XXXXXX","s__Eukaryota_XXXXXX_sp."
"ASV1413",0,0.002148689,0,0,0,0,0.000358115,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV1421",0,0.002291935,0.001862197,0,0,0,0.000692355,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__unclassified_f__Sandonidae","s__unclassified_f__Sandonidae"
"ASV1711",0,0.000429738,0,0,0.000859476,0,0.000214869,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__unclassified_g__Paracercomonas"
"ASV2550",0.011029938,0,0.002578427,0,0,0,0.002268061,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV3633",0,0,0.00143246,0,0,0.002578427,0.000668481,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV276",0,0.000859476,0,0.002005443,0.001718951,0.002005443,0.001098219,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__unclassified_o__Variosea_X","g__unclassified_o__Variosea_X","s__unclassified_o__Variosea_X"
"ASV1432",0,0.001718951,0,0,0,0,0.000286492,"Pro","p__Cercozoa","c__Cercozoa_X","o__Cercozoa_XX","f__Cercozoa_XXX","g__Cercozoa_XXXX","s__Cercozoa_XXXX_sp."
"ASV2259",0,0,0.00673256,0,0.004154133,0,0.001814449,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV937",0,0.000859476,0,0,0,0.000286492,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__unclassified_f__Allapsidae","s__unclassified_f__Allapsidae"
"ASV1867",0,0,0.003867641,0,0,0,0.000644607,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Filosa-Sarcomonadea_X","f__Filosa-Sarcomonadea_XX","g__Filosa-Sarcomonadea_XXX","s__Filosa-Sarcomonadea_XXX_sp."
"ASV2948",0,0,0,0.001718951,0.000143246,0,0.000310366,"Pro","p__Cercozoa","c__Cercozoa_X","o__Cercozoa_XX","f__Cercozoa_XXX","g__Cercozoa_XXXX","s__Cercozoa_XXXX_sp."
"ASV253",0.002148689,0.002005443,0.002864919,0.001718951,0.003437903,0.002435181,0.002435181,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Sandonidae_X","s__Sandonidae_X_sp."
"ASV895",0,0,0,0.002864919,0,0,0.000477487,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV1370",0,0.004727116,0,0,0,0,0.000787853,"Pro","p__Ciliophora","c__Colpodea","o__Platyophryida","f__Platyophryidae","g__Platyophrya","s__unclassified_g__Platyophrya"
"ASV2271",0,0,0,0,0.001289214,0,0.000214869,"Pro","p__Lobosa","c__Tubulinea","o__Euamoebida","f__LOS7NI-lineage","g__LOS7NI-lineage_X","s__LOS7NI-lineage_X_sp."
"ASV2950",0,0,0,0.001862197,0,0,0.000310366,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV3655",0,0,0,0,0,0.001002722,0.00016712,"Pro","p__unclassified_k__Amoebozoa","c__unclassified_k__Amoebozoa","o__unclassified_k__Amoebozoa","f__unclassified_k__Amoebozoa","g__unclassified_k__Amoebozoa","s__unclassified_k__Amoebozoa"
"ASV3678",0,0,0,0,0,0.001575705,0.000262618,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Phalansteriidae","g__Phalansterium","s__unclassified_g__Phalansterium"
"ASV405",0,0.001002722,0.000859476,0.000429738,0.000572984,0,0.000477487,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Thaumatomonadida","f__Thaumatomonadidae","g__Thaumatomonas","s__Thaumatomonas_sp."
"ASV342",0.001145968,0,0.000572984,0,0.002721673,0,0.000740104,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__Paracercomonas_virgaria"
"ASV3985",0,0,0.001145968,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__unclassified_g__Neoheteromita"
"ASV1430",0,0.001145968,0,0,0,0,0.000190995,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV1369",0,0.004440625,0,0,0.001862197,0.007305544,0.002268061,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Leptophryidae","g__Leptophryidae_X","s__Leptophryidae_X_sp."
"ASV2648",0.001289214,0,0,0.000859476,0,0,0.000358115,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__unclassified_g__Eocercomonas"
"ASV3993",0,0,0.001145968,0,0,0,0.000190995,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV243",0,0.003581149,0.002578427,0.0053001,0.007305544,0.003151411,0.003652772,"Pro","p__Lobosa","c__Tubulinea","o__Echinamoebida","f__Vermamoebidae","g__unclassified_f__Vermamoebidae","s__unclassified_f__Vermamoebidae"
"ASV2776",0.000286492,0,0,0.00143246,0,0,0.000286492,"Pro","p__Ciliophora","c__Litostomatea","o__Haptoria","f__Tracheliidae","g__unclassified_f__Tracheliidae","s__unclassified_f__Tracheliidae"
"ASV1055",0,0.001145968,0,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__unclassified_c__Filosa-Sarcomonadea","f__unclassified_c__Filosa-Sarcomonadea","g__unclassified_c__Filosa-Sarcomonadea","s__unclassified_c__Filosa-Sarcomonadea"
"ASV3673",0,0,0,0,0,0.001002722,0.00016712,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__Group-Te","s__Group-Te_sp."
