	LYL7	LYL8	LYL9	LYL10	LYL11	LYL12	Abundance	Type	phylum	class	order	family	genus	species
ASV47	0.005156854	0	0	0.004010887	0	0	0.001527957	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__unclassified_o__Variosea_X	g__unclassified_o__Variosea_X	s__unclassified_o__Variosea_X
ASV3488	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Lobosa_X	o__Centramoebida	f__Acanthamoebidae	g__Acanthamoeba	s__Acanthamoeba_echinulata
ASV970	0	0	0.00071623	0	0	0	0.000119372	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__unclassified_f__Cercomonadidae	s__unclassified_f__Cercomonadidae
ASV3505	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Lobosa_X	o__Centramoebida	f__Balamuthiidae	g__Balamuthiidae_X	s__Balamuthiidae_X_sp.
ASV4465	0	0	0	0	0.000286492	0	4.77487E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__Neoheteromita_caudratti
ASV4244	0	0	0	0	0.002721673	0	0.000453612	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__Cryomonadida	f__Rhogostoma-lineage	g__Rhogostoma-lineage_X	s__Rhogostoma-lineage_X_sp.
ASV3218	0	0	0	0.000143246	0	0	2.38743E-05	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__unclassified_o__Variosea_X	g__unclassified_o__Variosea_X	s__unclassified_o__Variosea_X
ASV76	0.004297379	0.00744879	0.005586592	0.004154133	0.002435181	0.003437903	0.004559996	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Eocercomonas	s__Eocercomonas_ramosa
ASV4453	0	0	0	0	0.000286492	0	4.77487E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Glissomonadida_Clade-Y	g__Glissomonadida_Clade-Y_X	s__Glissomonadida_Clade-Y_X_sp.
ASV999	0	0	0.002864919	0.001002722	0	0	0.000644607	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.
ASV993	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Thalassomyxa-lineage	g__Thalassomyxa-lineage_X	s__Thalassomyxa-lineage_X_sp.
ASV1563	0	0.000572984	0	0	0	0	9.54973E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonadidae_X	s__Cercomonadidae_X_sp.
ASV1514	0	0.000429738	0	0	0	0	7.1623E-05	Pro	p__Discoba	c__Heterolobosea	o__Heterolobosea_X	f__Gruberellidae	g__Stachyamoeba	s__Stachyamoeba_sp.
ASV2498	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Filamoebidae	g__Filamoeba	s__Filamoeba_sinensis
ASV220	0	0.001002722	0.002864919	0.002005443	0	0.001145968	0.001169842	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__Filosa-Thecofilosea_X	f__Filosa-Thecofilosea_XX	g__Filosa-Thecofilosea_XXX	s__Filosa-Thecofilosea_XXX_sp.
ASV1575	0	0.000429738	0.000143246	0	0.001002722	0.000572984	0.000358115	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Penardia-lineage	g__Penardia-lineage_X	s__Penardia-lineage_X_sp.
ASV4445	0	0	0	0	0.000286492	0	4.77487E-05	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa
ASV2142	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__Neoheteromita_caudratti
ASV2423	0	0	0	0	0	0	0	Pro	p__Choanoflagellida	c__Choanoflagellida_X	o__Choanoflagellida_XX	f__Clade-3	g__Clade-3_X	s__Clade-3_X_sp.
ASV4103	0	0	0.000286492	0	0	0	4.77487E-05	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.
ASV2207	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa
ASV4269	0	0	0	0	0.001862197	0	0.000310366	Pro	p__Ciliophora	c__Phyllopharyngea	o__Cyrtophoria	f__Chilodonellidae	g__Chilodonellidae_X	s__Chilodonellidae_X_sp.
ASV2505	0	0	0	0	0	0.000143246	2.38743E-05	Pro	p__Choanoflagellida	c__Choanoflagellatea	o__Craspedida	f__Salpingoecidae_Group_C2	g__Salpingoecidae_Group_C2_X	s__Salpingoecidae_Group_C2_X_sp.
